Name	Type	Microbiome	SRA_accession	Comments
	amplicon	Unknown	ERR5523680	
	amplicon	Unknown	ERR5523681	
	amplicon	Unknown	ERR5523682	
	amplicon	Unknown	ERR5523683	
	amplicon	Unknown	ERR5523684	
	amplicon	Unknown	ERR5523685	
	amplicon	Unknown	ERR5523686	
	amplicon	Unknown	ERR5523689	
	amplicon	Unknown	ERR4371535	
	amplicon	Unknown	ERR4371536	
	amplicon	Unknown	ERR4371538	
	amplicon	Unknown	ERR5523687	
	amplicon	Unknown	ERR5523688	
	amplicon	horse	SRR831198	
	amplicon	horse	SRR831199	
	amplicon	horse	SRR831200	
	amplicon	horse	SRR831203	
	amplicon	horse	SRR831204	
	amplicon	horse	SRR831205	
	amplicon	horse	SRR831206	
	amplicon	horse	SRR831207	
	amplicon	horse	SRR831201	
	amplicon	horse	SRR831202	
	amplicon	horse	SRR831208	
	amplicon	horse	SRR831209	
	amplicon	horse	SRR831210	
	amplicon	horse	SRR831211	
	amplicon	horse	SRR831212	
	amplicon	horse	SRR831213	
	amplicon	horse	SRR831214	
	amplicon	horse	SRR831215	
	amplicon	horse	SRR952154	
	amplicon	horse	SRR952155	
	amplicon	horse	SRR952156	
	amplicon	horse	SRR952157	
	amplicon	horse	SRR952158	
	amplicon	horse	SRR952159	
	amplicon	horse	SRR952160	
	amplicon	horse	SRR952161	
	amplicon	horse	SRR952162	
	amplicon	horse	SRR952163	
	amplicon	horse	SRR952164	
	amplicon	horse	SRR952165	
	amplicon	horse	SRR952166	
	amplicon	horse	SRR952167	
	amplicon	horse	SRR952168	
	amplicon	horse	SRR952169	
	amplicon	horse	SRR952170	
	amplicon	horse	SRR952171	
	amplicon	horse	SRR952172	
	amplicon	horse	SRR952173	
	amplicon	horse	SRR952174	
	amplicon	horse	SRR952175	
	amplicon	horse	SRR952176	
	amplicon	horse	SRR952177	
	amplicon	horse	SRR952178	
	amplicon	horse	SRR952179	
	amplicon	horse	SRR952180	
	amplicon	horse	SRR952181	
	amplicon	horse	SRR952182	
	amplicon	horse	SRR952183	
	amplicon	horse	SRR952184	
	amplicon	horse	SRR952185	
	amplicon	horse	SRR952186	
	amplicon	horse	SRR952187	
	amplicon	horse	SRR952188	
	amplicon	horse	SRR952189	
	amplicon	horse	SRR952190	
	amplicon	horse	SRR952191	
	amplicon	horse	SRR952192	
	amplicon	horse	SRR952193	
